subject	relative_path	annex_key	byte_size	source_remote	acquisition_status	validation_status
sub-001	derivatives/sub-001/func/sub-001_task-thinkaloud_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	SHA256E-s771374821--52c72996946001bda6c767f0cbcad923b53649cb458b61bd0455473759f05a24	771374821	openneuro.org/git/2/ds006067 (Basic auth PAT)	BLOCKED_AUTH	PENDING
sub-001	derivatives/sub-001/func/sub-001_task-thinkaloud_space-MNI152NLin2009cAsym_desc-preproc_bold.json	IN_GIT	0	openneuro.org/git/2/ds006067 (Basic auth PAT)	BLOCKED_AUTH	PENDING
sub-001	derivatives/sub-001/func/sub-001_task-thinkaloud_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz	SHA256E-s8433--3851b28e93c4b4d61d57787e7c206d3b6fd62da67a566d72704c72ae74b5fb89	8433	openneuro.org/git/2/ds006067 (Basic auth PAT)	BLOCKED_AUTH	PENDING
sub-001	derivatives/sub-001/func/sub-001_task-thinkaloud_desc-confounds_timeseries.tsv	SHA256E-s2094416--04fbbd4e86a4524c2d1f685e2bdcf89cf00f6601ec6a274c76b6620bffbbd5ef	2094416	openneuro.org/git/2/ds006067 (Basic auth PAT)	BLOCKED_AUTH	PENDING
sub-001	derivatives/sub-001/func/sub-001_task-thinkaloud_desc-confounds_timeseries.json	IN_GIT	0	openneuro.org/git/2/ds006067 (Basic auth PAT)	BLOCKED_AUTH	PENDING
sub-001	derivatives/sub-001/func/sub-001_task-thinkaloud_space-MNI152NLin2009cAsym_desc-preproc_smooth4mm_denoise_bold.nii.gz	SHA256E-s370814985--a8e0b10c027fd4f1beb042321e3cafbe24f44b40d57ea74c81f06583dd283b5c	370814985	openneuro.org/git/2/ds006067 (Basic auth PAT)	BLOCKED_AUTH_OPTIONAL	PENDING
sub-005	derivatives/sub-005/func/sub-005_task-thinkaloud_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	SHA256E-s790999446--bf4477999a475c3f3508e03856d9117c869bf83f48774eb71c1af2fc8a716a27	790999446	openneuro.org/git/2/ds006067 (Basic auth PAT)	BLOCKED_AUTH	PENDING
sub-005	derivatives/sub-005/func/sub-005_task-thinkaloud_space-MNI152NLin2009cAsym_desc-preproc_bold.json	IN_GIT	0	openneuro.org/git/2/ds006067 (Basic auth PAT)	BLOCKED_AUTH	PENDING
sub-005	derivatives/sub-005/func/sub-005_task-thinkaloud_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz	SHA256E-s8675--0fab12dc45f6e23d045575b14a09c0b30167b4ab7cd8d25ec12986a4f73a9a9e	8675	openneuro.org/git/2/ds006067 (Basic auth PAT)	BLOCKED_AUTH	PENDING
sub-005	derivatives/sub-005/func/sub-005_task-thinkaloud_desc-confounds_timeseries.tsv	SHA256E-s2041790--ba3d7c1ed37156c9cdd38f3fa7930041332bf287135fe7fc051a099a32e381cf	2041790	openneuro.org/git/2/ds006067 (Basic auth PAT)	BLOCKED_AUTH	PENDING
sub-005	derivatives/sub-005/func/sub-005_task-thinkaloud_desc-confounds_timeseries.json	IN_GIT	0	openneuro.org/git/2/ds006067 (Basic auth PAT)	BLOCKED_AUTH	PENDING
sub-005	derivatives/sub-005/func/sub-005_task-thinkaloud_space-MNI152NLin2009cAsym_desc-preproc_smooth4mm_denoise_bold.nii.gz	SHA256E-s371015503--92129e86411c58563fae5a00ec97abbe1d4c8b80bc6a9cf78decdda855282eb3	371015503	openneuro.org/git/2/ds006067 (Basic auth PAT)	BLOCKED_AUTH_OPTIONAL	PENDING
