subject	raw_first_onset	osf_first_start	diff_s	monotonic	in_range	n_thoughts
sub-001	9.59	9.59	-0.0	1	1	28
sub-004	16.94	16.94	0.0	1	1	61
sub-005	12.7	12.7	0.0	1	1	70
sub-006	6.34	6.34	-0.0	1	1	46
sub-010	4.09	4.09	0.0	1	1	58
sub-011	8.1	8.1	-0.0	1	1	29
sub-012	3.43	3.43	0.0	1	1	79
sub-013	3.81	3.81	0.0	1	1	62
sub-017	25.96	25.96	0.0	1	1	46
sub-018	-3.49	-3.49	-0.0	1	0	34
sub-021	2.86	2.86	-0.0	1	1	65
sub-024	0.84	0.84	0.0	1	1	34
sub-025	9.23	9.23	0.0	1	1	58
sub-026	3.01	3.01	-0.0	1	1	116
sub-029	1.93	1.93	0.0	1	1	48
sub-031	1.21	1.21	0.0	1	1	91
sub-032	3.41	3.41	0.0	1	1	98
sub-033	3.24	3.24	0.0	1	1	58
sub-036	84.13	4.79	-79.34	1	1	29
sub-037	5.26	5.26	0.0	1	1	30
sub-040	1.48	1.48	-0.0	1	1	33
sub-042	2.09	2.09	0.0	1	1	44
sub-045	1.78	1.78	-0.0	1	1	39
sub-046	3.09	3.09	0.0	1	1	39
sub-047	9.18	9.18	0.0	1	1	52
sub-048	1.5	1.5	0.0	1	1	61
sub-050	1.71	1.71	0.0	1	1	57
sub-051	2.23	2.23	0.0	1	1	42
sub-052	1.27	1.27	0.0	1	1	42
sub-053	4.82	4.82	0.0	1	1	30
sub-054	18.19	18.19	0.0	1	1	45
sub-055	2.96	2.96	0.0	1	1	87
sub-056	7.99	7.99	-0.0	1	1	29
sub-057	3.36	3.36	-0.0	1	1	59
sub-058	2.19	2.19	0.0	1	1	41
sub-061	5.8	5.8	0.0	1	1	33
sub-062	3.65	3.65	0.0	1	1	66
sub-064	2.06	2.06	-0.0	1	1	118
sub-065	2.87	2.87	0.0	1	1	92
sub-066	2.36	2.36	-0.0	1	1	78
sub-069	3.34	3.34	0.0	1	1	63
sub-070	2.21	2.21	0.0	1	1	47
sub-071	2.25	2.25	0.0	1	1	37
sub-073	1.96	1.96	0.0	1	1	79
sub-075	1.43	1.43	0.0	1	1	77
sub-076	1.75	1.75	0.0	1	1	52
sub-077	5.09	5.09	0.0	1	1	78
sub-079	2.74	2.74	-0.0	1	1	44
sub-080	2.38	2.38	-0.0	1	1	53
sub-081	5.92	5.92	0.0	1	1	38
sub-082	3.29	3.29	-0.0	1	1	34
sub-083	-6.94	-6.94	0.0	1	0	83
sub-084	2.2	2.2	0.0	1	1	73
sub-088	9.37	9.37	0.0	1	1	29
sub-090	1.86	1.86	-0.0	1	1	95
sub-092	1.74	1.74	-0.0	1	1	30
sub-093	1.98	1.98	0.0	1	1	74
sub-094	3.79	3.79	-0.0	1	1	71
sub-096	6.74	6.74	0.0	1	1	66
sub-097	2.4	2.4	-0.0	1	1	59
sub-099	5.06	5.06	0.0	1	1	43
sub-100	3.81	3.81	-0.0	1	1	37
sub-101	4.83	4.83	-0.0	1	1	40
sub-103	4.29	4.29	-0.0	1	1	38
sub-107	3.94	3.94	0.0	1	1	37
sub-108	2.02	2.02	0.0	1	1	56
sub-109	6.92	6.92	-0.0	1	1	35
sub-111	8.38	8.38	-0.0	1	1	51
sub-112	5.62	5.62	0.0	1	1	71
sub-114	-10.27	-10.27	0.0	1	0	55
sub-115	1.65	1.65	0.0	1	1	59
sub-117	2.56	2.56	0.0	1	1	35
sub-118	2.64	2.64	0.0	1	1	74
sub-121	2.02	2.02	0.0	1	1	76
sub-123	2.53	2.53	-0.0	1	1	54
sub-124	3.43	3.43	0.0	1	1	54
sub-125	9.36	9.36	0.0	1	1	52
sub-126	1.66	1.66	0.0	1	1	93
sub-127	3.98	3.98	-0.0	1	1	60
sub-009	-11.12	-11.12	0.0	1	0	69
sub-014	0.07	0.07	0.0	1	1	53
sub-019	2.95	2.95	-0.0	1	1	36
sub-023	1.62	1.62	0.0	1	1	32
sub-027	1.46	1.46	-0.0	1	1	82
sub-034	3.47	3.47	-0.0	1	1	45
sub-035	5.81	5.81	0.0	1	1	41
sub-041	10.71	10.707	-0.003	1	1	51
sub-044	1.4	1.4	-0.0	1	1	50
sub-059	3.38	3.38	0.0	1	1	36
sub-060	1.96	1.96	0.0	1	1	56
sub-068	1.85	1.85	0.0	1	1	42
sub-078	0.96	0.96	0.0	1	1	79
sub-098	2.37	2.37	0.0	1	1	77
sub-102	4.38	4.38	0.0	1	1	51
sub-106	3.42	3.42	0.0	1	1	47
sub-113	1.14	1.14	0.0	1	1	84
sub-119	1.5	1.5	0.0	1	1	39
sub-007	3.92	3.92	-0.0	1	1	40
sub-016	3.4	3.4	-0.0	1	1	50
sub-020	8.5	8.5	0.0	1	1	52
sub-038	8.84	8.84	0.0	1	1	63
sub-039	17.28	17.28	0.0	1	1	33
sub-043	5.1	5.1	0.0	1	1	73
sub-049	15.32	15.32	0.0	1	1	66
sub-072	2.68	2.68	0.0	1	1	29
sub-074	1.41	1.41	0.0	1	1	69
sub-085	2.54	2.54	-0.0	1	1	54
sub-086	-11.03	-11.03	0.0	1	0	50
sub-091	2.49	2.49	-0.0	1	1	59
sub-105	2.26	2.26	-0.0	1	1	75
sub-116	3.77	3.77	0.0	1	1	55
sub-120	1.51	1.51	0.0	1	1	48
sub-122	4.8	4.8	-0.0	1	1	72
