subject	f1	tsnr	n_vox	sec
sub-001	OK	42.797	253521	0
sub-004	OK	44.237	259576	7
sub-005	OK	34.157	253723	7
sub-006	OK	35.71	257418	0
sub-010	OK	32.081	247905	9
sub-011	OK	33.567	260213	7
sub-012	OK	25.787	252074	7
sub-013	OK	39.174	267958	8
sub-017	OK	25.952	252441	8
sub-018	OK	32.828	242619	9
sub-021	OK	43.579	234540	9
sub-024	OK	35.611	253110	0
sub-025	OK	39.299	256577	10
sub-026	OK	34.228	284948	9
sub-029	OK	33.926	250299	9
sub-031	OK	41.606	262365	10
sub-032	OK	24.839	255439	0
sub-033	OK	39.549	242598	9
sub-036	OK	35.67	257411	0
sub-037	OK	36.114	233826	10
sub-040	OK	43.863	250547	11
sub-042	OK	37.397	263225	10
sub-045	OK	38.196	258098	10
sub-046	OK	33.566	245421	10
sub-047	OK	25.893	260014	10
sub-048	OK	32.773	265456	0
sub-050	OK	43.258	256755	0
sub-051	OK	42.729	251466	10
sub-052	OK	33.557	246884	10
sub-053	OK	34.884	233955	10
sub-054	OK	35.667	263320	9
sub-055	OK	27.929	255066	0
sub-056	OK	42.127	253411	0
sub-057	OK	27.74	247680	0
sub-058	OK	29.762	245625	10
sub-061	OK	31.347	255587	10
sub-062	OK	41.568	256823	9
sub-064	OK	37.608	260171	0
sub-065	OK	41.295	257190	10
sub-066	OK	31.901	254519	10
sub-069	OK	36.102	237971	0
sub-070	OK	42.114	246228	0
sub-071	OK	31.714	253393	0
sub-073	OK	32.219	256365	0
sub-075	OK	31.957	251262	9
sub-076	OK	28.704	239429	9
sub-077	OK	32.38	251640	0
sub-079	OK	38.666	248235	0
sub-080	OK	40.294	260175	10
sub-081	OK	40.12	257252	10
sub-082	OK	27.508	238273	9
sub-083	OK	26.556	253229	0
sub-084	OK	27.994	254948	0
sub-088	OK	38.047	242774	0
sub-090	OK	35.687	251644	10
sub-092	OK	27.13	256729	9
sub-093	OK	34.322	245599	10
sub-094	OK	34.187	243780	0
sub-096	OK	43.645	263730	10
sub-097	OK	36.605	247137	0
sub-099	OK	33.563	253973	10
sub-100	OK	36.051	242546	0
sub-101	OK	38.501	243141	0
sub-103	OK	32.501	247800	0
sub-107	OK	38.539	257213	11
sub-108	OK	42.461	245489	10
sub-109	OK	34.066	254956	9
sub-111	OK	30.08	259771	10
sub-112	OK	46.043	255922	0
sub-114	OK	35.778	253692	11
sub-115	OK	38.231	252937	11
sub-117	OK	33.167	255004	10
sub-118	OK	36.445	251939	0
sub-121	OK	42.877	250758	0
sub-123	OK	43.77	252574	11
sub-124	OK	40.963	235511	10
sub-125	OK	32.534	250835	0
sub-126	OK	39.472	261950	0
sub-127	OK	38.287	260545	9
sub-009	OK	32.449	250709	11
sub-014	OK	30.974	252967	9
sub-019	OK	25.095	253526	9
sub-023	OK	32.934	254235	10
sub-027	OK	38.459	244760	9
sub-034	OK	29.277	255878	9
sub-035	OK	40.424	242680	9
sub-041	OK	49.367	246687	9
sub-044	OK	47.222	255609	10
sub-059	OK	29.061	261050	12
sub-060	OK	33.793	249057	9
sub-068	OK	27.927	254998	0
sub-078	OK	34.251	238628	0
sub-098	OK	36.28	255590	10
sub-102	OK	32.028	261533	0
sub-106	OK	38.254	251753	0
sub-113	OK	34.401	261013	0
sub-119	OK	39.026	254638	9
sub-007	OK	39.475	255131	12
sub-016	OK	37.315	257818	9
sub-020	OK	38.026	270479	8
sub-038	OK	35.052	251602	0
sub-039	OK	44.419	248336	8
sub-043	OK	47.662	251328	7
sub-049	OK	29.913	263466	0
sub-072	OK	32.693	269417	0
sub-074	OK	39.346	251191	0
sub-085	OK	34.259	253955	7
sub-086	OK	29.863	246967	0
sub-091	OK	42.367	257417	7
sub-105	OK	41.576	248119	7
sub-116	OK	33.286	253037	8
sub-120	OK	34.145	253962	7
sub-122	OK	36.369	260226	7
