subject_id	cm3_split	n_volumes	fd_mean	fd_median	fd_p95	fd_gt05_frac	fd_gt10_frac	fd_gt20_frac	dvars_mean	dvars_gt50med_frac	std_dvars_mean	n_missing_core	n_nonfinite_core	qc_status	std_dvars_gt50med_frac
sub-001	train	400.0	0.2657	0.2371	0.5254	0.0846	0.0	0.0	60.81	0.1256	1.5227	0.0	0.0	COMPUTED	
sub-002	train													NO_CONFOUNDS	
sub-004	train	400.0	0.2356	0.2172	0.4497	0.0282	0.0	0.0	66.52	0.1333	1.587	0.0	0.0	COMPUTED	
sub-005	train	400.0	0.3735	0.319	0.8117	0.1821	0.0205	0.0	81.33	0.1282	1.4658	0.0	0.0	COMPUTED	
sub-006	train	400.0	0.384	0.3591	0.7021	0.2308	0.0026	0.0	62.17	0.0436	1.3874	0.0	0.0	COMPUTED	
sub-007	test	400.0	0.4031	0.3672	0.7643	0.2821	0.0077	0.0	70.56	0.0051	1.4908	0.0	0.0	COMPUTED	
sub-009	val	400.0	0.7263	0.6266	1.6238	0.6487	0.1923	0.0179	70.1	0.1	1.3415	0.0	0.0	COMPUTED	
sub-010	train	400.0	0.5432	0.4905	1.0732	0.4897	0.0641	0.0	71.81	0.0282	1.2874	0.0	0.0	COMPUTED	
sub-011	train	400.0	0.497	0.4604	0.8884	0.4256	0.0205	0.0	68.17	0.0744	1.4184	0.0	0.0	COMPUTED	
sub-012	train	400.0	0.6993	0.6219	1.3993	0.6744	0.1692	0.0077	88.33	0.0538	1.3517	0.0	0.0	COMPUTED	
sub-013	train	400.0	0.4381	0.4265	0.8021	0.3282	0.0051	0.0	57.02	0.0128	1.3615	0.0	0.0	COMPUTED	
sub-014	val	400.0	0.5986	0.5713	1.0361	0.5897	0.0718	0.0051	82.95	0.0385	1.4306	0.0	0.0	COMPUTED	
sub-016	test	400.0	0.3451	0.301	0.7023	0.1564	0.0179	0.0	75.28	0.0795	1.5553	0.0	0.0	COMPUTED	
sub-017	train	400.0	0.6684	0.3892	2.2815	0.359	0.1179	0.0641	69.24	0.1436	1.2892	0.0	0.0	COMPUTED	
sub-018	train	400.0	0.3965	0.3515	0.7327	0.2487	0.0154	0.0026	64.0	0.0282	1.3155	0.0	0.0	COMPUTED	
sub-019	val	400.0	0.7109	0.4376	2.041	0.4385	0.2256	0.0564	72.98	0.1872	1.311	0.0	0.0	COMPUTED	
